author,gender,birth_year,age,previous_awards,title,award_year,genre,publisher
R. F. Kuang,female,1996,27,ex_nominee,Babel,2023,Fantasy,Harper Voyager
Travis Baldree,male,1977,46,debutant,Legends & Lattes,2023,Fantasy,Cryptid; Tor
Ray Nayler,male,1976,47,debutant,The Mountain in the Sea,2023,SF,MCD; Weidenfeld & Nicolson
T. Kingfisher,female,1977,46,debutant,Nettle & Bone,2023,Fantasy,Tor; Titan UK
Tamsyn Muir,female,1985,38,ex_nominee,Nona the Ninth,2023,SF,Tordotcom
Nicola Griffith,female,1960,63,ex_winner,Spear,2023,Fantasy,Tordotcom
